01/01/2023;Date;Jours jul;Temp;Salinity;Conductivity;O2 (mL/L);O2 (%);pH
;2023-11-25 20:19:21;329,846771;28,9911;35,4393;5,79178;4,0694;91,986;8,023
;2023-11-25 21:19:21;329,888438;29,159;35,4167;5,806574;4,8239;109,323;8,044
;2023-11-25 22:19:21;329,930104;29,2294;35,4352;5,816841;4,7044;106,746;8,05
;2023-11-25 23:19:21;329,971771;29,211;35,4904;5,822875;4,7261;107,239;8,051
;2023-11-26 00:19:21;330,013438;29,0837;35,5008;5,810677;4,1142;93,169;8,027
;2023-11-26 01:19:21;330,055104;29,0111;35,5197;5,805585;3,9689;89,783;8,015
;2023-11-26 02:19:21;330,096771;28,8205;35,5478;5,789093;3,6714;82,811;7,978
;2023-11-26 03:19:21;330,138438;28,6773;35,5407;5,772636;3,147;70,816;7,95
;2023-11-26 04:19:21;330,180104;28,5546;35,5979;5,767648;2,8563;64,168;7,922
;2023-11-26 05:19:21;330,221771;28,4287;35,6112;5,75597;2,7998;62,774;7,901
;2023-11-26 06:19:21;330,263438;28,305;35,6364;5,746245;2,6328;58,919;7,875
;2023-11-26 07:19:21;330,305104;28,2273;35,6699;5,74265;2,6274;58,736;7,867
;2023-11-26 08:19:21;330,346771;28,1046;35,6753;5,7302;2,5008;55,795;7,838
;2023-11-26 09:19:21;330,388438;28,0277;35,6709;5,721287;2,3136;51,551;7,829
;2023-11-26 10:19:21;330,430104;27,9626;35,6803;5,71561;2,2566;50,231;7,815
;2023-11-26 11:19:21;330,471771;27,9481;35,704;5,717413;2,2789;50,721;7,819
;2023-11-26 12:19:21;330,513438;28,0463;35,7256;5,731067;2,6186;58,384;7,841
;2023-11-26 13:19:21;330,555104;28,14;35,7466;5,744179;2,8457;63,551;7,833
;2023-11-26 14:19:21;330,596771;28,277;35,7394;5,757948;3,108;69,563;7,884
;2023-11-26 15:19:21;330,638438;28,3935;35,6974;5,764519;3,5035;78,545;7,896
;2023-11-26 16:19:21;330,680104;28,8499;35,7378;5,819696;4,0598;91,712;7,974
;2023-11-26 17:19:21;330,721771;28,9345;35,7243;5,826914;3,7509;84,843;8
;2023-11-26 18:19:21;330,763438;28,9777;35,7178;5,830653;4,4675;101,12;8
;2023-11-26 19:19:21;330,805104;28,9643;35,7302;5,83099;4,2571;96,343;8,006
;2023-11-26 20:19:21;330,846771;29,0385;35,708;5,835826;4,0323;91,354;8,018
;2023-11-26 21:19:21;330,888438;28,9692;35,6789;5,824096;4,1407;93,69;8,003
;2023-11-26 22:19:21;330,930104;28,817;35,5537;5,789564;3,9875;89,939;7,972
;2023-11-26 23:19:21;330,971771;28,7713;35,5599;5,785534;3,7133;83,695;7,98
;2023-11-27 00:19:21;331,013438;28,6607;35,4927;5,763932;3,5281;79,349;7,959
;2023-11-27 01:19:21;331,055104;28,4763;35,5281;5,749194;3,3109;74,257;7,918
;2023-11-27 02:19:21;331,096771;28,4244;35,514;5,741588;3,1867;71,406;7,909
;2023-11-27 03:19:21;331,138438;28,3393;35,5193;5,7332;3,022;67,622;7,887
;2023-11-27 04:19:21;331,180104;28,2399;35,5878;5,732296;2,8935;64,667;7,865
;2023-11-27 05:19:21;331,221771;28,1668;35,6061;5,727036;2,6694;59,594;7,859
;2023-11-27 06:19:21;331,263438;28,0419;35,6599;5,721247;2,5659;57,185;7,838
;2023-11-27 07:19:21;331,305104;27,9817;35,6892;5,718937;2,6602;59,236;7,837
;2023-11-27 08:19:21;331,346771;27,9048;35,6832;5,709793;2,5276;56,211;7,832
;2023-11-27 09:19:21;331,388438;27,8502;35,6726;5,7024;2,5434;56,508;7,822
;2023-11-27 10:19:21;331,430104;27,7798;35,6986;5,698508;2,3093;51,256;7,811
;2023-11-27 11:19:21;331,471771;27,7759;35,7075;5,699341;2,3284;51,679;7,813
;2023-11-27 12:19:21;331,513438;27,8769;35,7039;5,709722;2,3882;53,094;7,84
;2023-11-27 13:19:21;331,555104;28,0326;35,7217;5,729033;2,8834;64,273;7,847
;2023-11-27 14:19:21;331,596771;28,3272;35,7073;5,758784;2,9812;66,767;7,853
;2023-11-27 15:19:21;331,638438;28,5716;35,684;5,781835;3,4897;78,455;7,909
;2023-11-27 16:19:21;331,680104;28,9047;35,6691;5,815703;3,6297;82,038;7,93
;2023-11-27 17:19:21;331,721771;29,2525;35,7038;5,858402;3,9821;90,526;7,975
;2023-11-27 18:19:21;331,763438;29,2995;35,6088;5,849672;4,3577;99,088;7,996
;2023-11-27 19:19:21;331,805104;29,525;35,627;5,876755;4,6068;105,142;7,991
;2023-11-27 20:19:21;331,846771;29,4019;35,6661;5,869117;4,1753;95,126;7,976
;2023-11-27 21:19:21;331,888438;29,5346;35,6299;5,878209;4,1799;95,415;7,968
;2023-11-27 22:19:21;331,930104;29,3929;35,6272;5,862461;3,6651;83,473;7,953
;2023-11-27 23:19:21;331,971771;29,2295;35,6018;5,841079;3,6152;82,107;7,944
;2023-11-28 00:19:21;332,013438;29,0133;35,641;5,823391;3,1912;72,243;7,902
;2023-11-28 01:19:21;332,055104;28,9022;35,6208;5,808465;3,16;71,399;7,888
;2023-11-28 02:19:21;332,096771;28,8541;35,6337;5,805125;3,0763;69,459;7,887
;2023-11-28 03:19:21;332,138438;28,5741;35,6575;5,778308;2,8935;65,044;7,866
;2023-11-28 04:19:21;332,180104;28,3688;35,6662;5,757397;2,5549;57,245;7,839
;2023-11-28 05:19:21;332,221771;28,3216;35,6486;5,749778;2,6;58,204;7,824
;2023-11-28 06:19:21;332,263438;28,1583;35,6966;5,739016;2,4463;54,634;7,806
;2023-11-28 07:19:21;332,305104;28,0906;35,7014;5,732402;2,407;53,699;7,789
;2023-11-28 08:19:21;332,346771;28,0424;35,695;5,726283;2,3456;52,285;7,79
;2023-11-28 09:19:21;332,388438;28,0044;35,6863;5,720962;2,1635;48,193;7,788
;2023-11-28 10:19:21;332,430104;27,965;35,6859;5,716658;2,0374;45,356;7,8
;2023-11-28 11:19:21;332,471771;27,9649;35,7053;5,719406;2,2512;50,12;7,82
;2023-11-28 12:19:21;332,513438;28,0627;35,7099;5,730598;2,3263;51,877;7,842
;2023-11-28 13:19:21;332,555104;28,2774;35,6962;5,751825;2,3745;53,133;7,861
;2023-11-28 14:19:21;332,596771;28,6214;35,6874;5,787708;3,207;72,159;7,905
;2023-11-28 15:19:21;332,638438;28,9129;35,6315;5,81116;3,6664;82,86;7,947
;2023-11-28 16:19:21;332,680104;29,242;35,627;5,846105;4,0968;93,078;7,983
;2023-11-28 17:19:21;332,721771;29,3508;35,6081;5,855118;4,1537;94,527;8,013
;2023-11-28 18:19:21;332,763438;29,5644;35,5855;5,874946;4,118;94,024;8,018
;2023-11-28 19:19:21;332,805104;29,7554;35,5631;5,892349;4,2646;97,658;8,021
;2023-11-28 20:19:21;332,846771;29,647;35,5511;5,87885;3,9458;90,195;8,031
;2023-11-28 21:19:21;332,888438;29,7096;35,5504;5,885521;4,2001;96,103;8,028
;2023-11-28 22:19:21;332,930104;29,7113;35,5461;5,885071;3,665;83,86;8,01
;2023-11-28 23:19:21;332,971771;29,4455;35,5304;5,854033;3,7108;84,539;7,996
;2023-11-29 00:19:21;333,013438;29,2386;35,5052;5,828022;3,1492;71,496;7,984
;2023-11-29 01:19:21;333,055104;29,0013;35,4587;5,795678;3,0109;68,078;7,955
;2023-11-29 02:19:21;333,096771;28,863;35,4594;5,780904;2,8861;65,112;7,916
;2023-11-29 03:19:21;333,138438;28,6607;35,4615;5,759439;2,7782;62,473;7,891
;2023-11-29 04:19:21;333,180104;28,4181;35,4613;5,733342;2,5294;56,653;7,866
;2023-11-29 05:19:21;333,221771;28,2502;35,3471;5,699007;2,4865;55,505;7,839
;2023-11-29 06:19:21;333,263438;28,1275;35,3323;5,683763;2,5363;56,5;7,84
;2023-11-29 07:19:21;333,305104;28,042;35,2766;5,666684;2,4484;54,449;7,836
;2023-11-29 08:19:21;333,346771;27,9392;35,3419;5,665002;2,3808;52,875;7,826
;2023-11-29 09:19:21;333,388438;27,8608;35,3906;5,66354;2,2691;50,345;7,824
;2023-11-29 10:19:21;333,430104;27,8024;35,5106;5,674308;2,3699;52,564;7,83
;2023-11-29 11:19:21;333,471771;27,7474;35,5383;5,672338;2,2269;49,356;7,824
;2023-11-29 12:19:21;333,513438;27,6228;35,4928;5,65255;2,3019;50,901;7,835
;2023-11-29 13:19:21;333,555104;27,6007;35,4574;5,645181;2,7722;61,267;7,837
;2023-11-29 14:19:21;333,596771;27,614;35,4431;5,64458;2,7367;60,492;7,881
;2023-11-29 15:19:21;333,638438;27,8477;35,5441;5,683918;3,2255;71,61;7,919
;2023-11-29 16:19:21;333,680104;28,1779;35,5919;5,726209;3,2368;72,268;7,965
;2023-11-29 17:19:21;333,721771;28,6281;35,536;5,766666;3,8919;87,506;7,964
;2023-11-29 18:19:21;333,763438;28,8982;35,519;5,793315;4,1104;92,815;8,021
;2023-11-29 19:19:21;333,805104;29,0308;35,5588;5,813373;4,1041;92,892;8,053
;2023-11-29 20:19:21;333,846771;28,9389;35,5975;5,809056;3,7244;84,192;8,059
;2023-11-29 21:19:21;333,888438;28,806;35,6286;5,799196;3,6655;82,697;8,05
;2023-11-29 22:19:21;333,930104;28,7871;35,6118;5,794723;3,3543;75,645;8,045
;2023-11-29 23:19:21;333,971771;28,636;35,6353;5,781794;3,0988;69,722;8,03
;2023-11-30 00:19:21;334,013438;28,5491;35,6493;5,774433;3,3184;74,563;8,018
;2023-11-30 01:19:21;334,055104;28,443;35,671;5,766088;2,9871;67,011;8,016
;2023-11-30 02:19:21;334,096771;28,2873;35,6106;5,740644;2,6907;60,189;7,976
;2023-11-30 03:19:21;334,138438;27,9562;35,4243;5,678532;2,3933;53,193;7,881
;2023-11-30 04:19:21;334,180104;27,9812;35,1639;5,644147;2,4532;54,466;7,916
;2023-11-30 05:19:21;334,221771;27,8735;34,8946;5,594383;2,5585;56,618;7,888
;2023-11-30 06:19:21;334,263438;27,7595;34,0716;5,465243;2,5013;54,997;7,873
;2023-11-30 07:19:21;334,305104;27,6899;33,5829;5,388372;2,4137;52,864;7,862
;2023-11-30 08:19:21;334,346771;27,6748;33,4272;5,364614;2,3154;50,655;7,858
;2023-11-30 09:19:21;334,388438;28,1055;34,6094;5,578116;2,4942;55,318;7,911
;2023-11-30 10:19:21;334,430104;28,2616;34,986;5,648517;2,7212;60,633;7,931
;2023-11-30 11:19:21;334,471771;28,3044;35,0628;5,66407;2,5522;56,932;7,936
;2023-11-30 12:19:21;334,513438;28,2818;34,9323;5,642965;2,5243;56,248;7,933
;2023-11-30 13:19:21;334,555104;28,349;35,1012;5,674329;2,4152;53,928;7,942
;2023-11-30 14:19:21;334,596771;28,3458;35,1017;5,674044;2,5445;56,811;7,951
;2023-11-30 15:19:21;334,638438;28,3088;34,7507;5,619766;2,3839;53,09;7,937
;2023-11-30 16:19:21;334,680104;28,3887;34,9747;5,660384;2,4414;54,51;7,945
;2023-11-30 17:19:21;334,721771;28,844;34,2024;5,596686;2,6661;59,712;7,956
;2023-11-30 18:19:21;334,763438;29,7949;34,3246;5,714124;3,6443;82,936;8,049
;2023-11-30 19:19:21;334,805104;29,773;34,5458;5,744475;3,8379;87,418;8,057
;2023-11-30 20:19:21;334,846771;29,7766;34,6239;5,756383;3,7478;85,408;8,058
;2023-11-30 21:19:21;334,888438;29,7467;34,718;5,767091;3,6541;83,276;8,068
;2023-11-30 22:19:21;334,930104;29,6379;34,7746;5,763874;3,5201;80,108;8,065
;2023-11-30 23:19:21;334,971771;28,4694;35,3625;5,724678;2,8691;64,282;7,985
;2023-12-01 00:19:21;335,013438;29,4158;34,9462;5,765448;3,2619;74,038;8,047
;2023-12-01 01:19:21;335,055104;29,2859;34,9245;5,748447;3,1424;71,167;8,023
;2023-12-01 02:19:21;335,096771;28,9251;34,8744;5,702809;2,746;61,811;7,965
;2023-12-01 03:19:21;335,138438;28,5075;35,1378;5,696449;2,4468;54,785;7,909
;2023-12-01 04:19:21;335,180104;28,3399;35,2011;5,687672;2,4758;55,302;7,906
;2023-12-01 05:19:21;335,221771;28,222;35,1955;5,6743;2,4159;53,86;7,908
;2023-12-01 06:19:21;335,263438;28,1182;35,2391;5,669467;2,4631;54,833;7,902
;2023-12-01 07:19:21;335,305104;28,0502;35,2782;5,667792;2,3734;52,789;7,9
;2023-12-01 08:19:21;335,346771;27,9861;35,315;5,666179;2,3071;51,27;7,889
;2023-12-01 09:19:21;335,388438;27,9495;35,2847;5,657965;2,1967;48,779;7,879
;2023-12-01 10:19:21;335,430104;27,8916;35,3606;5,662575;2,0958;46,515;7,884
;2023-12-01 11:19:21;335,471771;27,9378;35,3292;5,66304;2,1263;47,22;7,885
;2023-12-01 12:19:21;335,513438;28,0157;35,3204;5,670118;2,2768;50,624;7,885
;2023-12-01 13:19:21;335,555104;28,2792;35,2985;5,695153;2,4132;53,88;7,914
;2023-12-01 14:19:21;335,596771;28,7255;35,2823;5,740565;2,7817;62,554;7,941
;2023-12-01 15:19:21;335,638438;29,2937;35,2056;5,790298;3,2646;74,06;7,982
;2023-12-01 16:19:21;335,680104;29,5476;35,1983;5,816451;3,4772;79,201;7,996
;2023-12-01 17:19:21;335,721771;29,3894;35,256;5,807905;3,3206;75,466;7,989
;2023-12-01 18:19:21;335,763438;29,256;35,2873;5,798157;3,2106;72,823;7,997
;2023-12-01 19:19:21;335,805104;29,3044;35,2773;5,801895;3,0668;69,612;8,01
;2023-12-01 20:19:21;335,846771;29,3418;35,2686;5,804652;2,9707;67,469;8,008
;2023-12-01 21:19:21;335,888438;29,2396;35,2869;5,796352;2,9126;66,047;7,993
;2023-12-01 22:19:21;335,930104;29,1283;35,2381;5,777309;2,858;64,675;7,974
;2023-12-01 23:19:21;335,971771;29,0461;35,2375;5,768412;2,7416;61,958;7,958
;2023-12-02 00:19:21;336,013438;28,744;35,2958;5,744494;2,5235;56,769;7,927
;2023-12-02 01:19:21;336,055104;28,6156;35,3097;5,732742;2,4185;54,299;7,92
;2023-12-02 02:19:21;336,096771;28,5489;35,3232;5,727537;2,4109;54,074;7,918
;2023-12-02 03:19:21;336,138438;28,5036;35,3266;5,723192;2,4279;54,416;7,921
;2023-12-02 04:19:21;336,180104;28,4506;35,3404;5,7195;2,3359;52,313;7,935
;2023-12-02 05:19:21;336,221771;28,4156;35,3603;5,718603;2,3618;52,868;7,932
;2023-12-02 06:19:21;336,263438;28,4167;35,3363;5,715276;2,2661;50,719;7,934
;2023-12-02 07:19:21;336,305104;28,4564;35,2964;5,713791;2,2988;51,473;7,934
;2023-12-02 08:19:21;336,346771;28,4382;35,3029;5,712783;2,3118;51,751;7,939
;2023-12-02 09:19:21;336,388438;28,4019;35,2603;5,702787;2,2855;51,121;7,928
;2023-12-02 10:19:21;336,430104;28,4704;35,2274;5,705379;2,2686;50,79;7,932
;2023-12-02 11:19:21;336,471771;28,473;35,3162;5,71842;2,468;55,283;7,955
;2023-12-02 12:19:21;336,513438;28,6186;35,2698;5,727321;2,5296;56,783;7,967
;2023-12-02 13:19:21;336,555104;28,4778;35,3454;5,723121;2,6776;59,994;7,991
;2023-12-02 14:19:21;336,596771;28,7041;35,2896;5,739332;2,7256;61,275;7,998
;2023-12-02 15:19:21;336,638438;28,5788;35,3708;5,737593;2,7334;61,352;8,004
;2023-12-02 16:19:21;336,680104;28,6823;35,5011;5,76747;2,8422;63,949;8,011
;2023-12-02 17:19:21;336,721771;29,0246;35,4649;5,799096;2,9929;67,699;8,028
;2023-12-02 18:19:21;336,763438;28,8827;35,4524;5,782012;2,866;64,676;8,016
;2023-12-02 19:19:21;336,805104;28,8041;35,4681;5,775815;2,7761;62,574;8,017
;2023-12-02 20:19:21;336,846771;28,678;35,4657;5,761916;2,7366;61,555;8,008
;2023-12-02 21:19:21;336,888438;28,5143;35,5058;5,750069;2,6757;60,04;8,014
;2023-12-02 22:19:21;336,930104;28,4708;35,4752;5,741007;2,49;55,823;7,995
;2023-12-02 23:19:21;336,971771;28,3526;35,4825;5,729353;2,351;52,608;7,979
;2023-12-03 00:19:21;337,013438;28,2863;35,4824;5,722219;2,2836;51,045;7,966
;2023-12-03 01:19:21;337,055104;28,2634;35,4647;5,717232;2,2765;50,861;7,96
;2023-12-03 02:19:21;337,096771;28,279;35,4373;5,714985;2,2552;50,391;7,958
;2023-12-03 03:19:21;337,138438;28,3294;35,3698;5,710722;2,1543;48,157;7,949
;2023-12-03 04:19:21;337,180104;28,3514;35,3788;5,714373;2,2075;49,368;7,96
;2023-12-03 05:19:21;337,221771;28,3106;35,3894;5,711516;2,2069;49,325;7,958
;2023-12-03 06:19:21;337,263438;28,318;35,3604;5,708159;2,203;49,235;7,957
;2023-12-03 07:19:21;337,305104;28,2745;35,3915;5,707946;2,2016;49,178;7,957
;2023-12-03 08:19:21;337,346771;28,2485;35,4019;5,706645;2,1434;47,861;7,955
;2023-12-03 09:19:21;337,388438;28,2254;35,3914;5,702679;2,1138;47,18;7,955
;2023-12-03 10:19:21;337,430104;28,2233;35,3786;5,700625;2,0974;46,808;7,955
;2023-12-03 11:19:21;337,471771;28,3667;35,383;5,716611;2,2226;49,718;7,976
;2023-12-03 12:19:21;337,513438;28,4888;35,369;5,727689;2,3522;52,718;7,993
;2023-12-03 13:19:21;337,555104;28,7434;35,377;5,756148;2,5644;57,716;8,023
;2023-12-03 14:19:21;337,596771;28,9491;35,3504;5,774385;2,6404;59,615;8,028
;2023-12-03 15:19:21;337,638438;29,2038;35,3077;5,795522;2,6784;60,708;8,051
;2023-12-03 16:19:21;337,680104;29,2535;35,3305;5,804182;2,7188;61,681;8,051
;2023-12-03 17:19:21;337,721771;29,2434;35,3455;5,805285;2,6696;60,559;8,058
;2023-12-03 18:19:21;337,763438;29,2309;35,3315;5,801897;2,5904;58,746;8,057
;2023-12-03 19:19:21;337,805104;29,1799;35,3453;5,79843;2,583;58,535;8,052
;2023-12-03 20:19:21;337,846771;28,9953;35,3579;5,78043;2,5272;57,103;8,039
;2023-12-03 21:19:21;337,888438;28,9274;35,3416;5,770774;2,4034;54,243;8,032
;2023-12-03 22:19:21;337,930104;28,8113;35,3503;5,759579;2,2542;50,781;8,019
;2023-12-03 23:19:21;337,971771;28,6777;35,3552;5,745951;2,1013;47,236;7,997
;2023-12-04 00:19:21;338,013438;28,6862;35,3372;5,744272;2,0494;46,072;7,992
;2023-12-04 01:19:21;338,055104;28,6063;35,3336;5,735191;1,9965;44,822;7,983
;2023-12-04 02:19:21;338,096771;28,5821;35,3264;5,731566;1,9586;43,954;7,977
;2023-12-04 03:19:21;338,138438;28,4952;35,3327;5,723161;1,9008;42,598;7,966
;2023-12-04 04:19:21;338,180104;28,4729;35,3291;5,720262;1,9209;43,031;7,964
;2023-12-04 05:19:21;338,221771;28,4408;35,3246;5,716173;1,9072;42,702;7,959
;2023-12-04 06:19:21;338,263438;28,3878;35,3284;5,711046;1,8778;42,008;7,959
;2023-12-04 07:19:21;338,305104;28,3468;35,3215;5,705667;1,8649;41,69;7,948
;2023-12-04 08:19:21;338,346771;28,3288;35,3076;5,701741;1,8714;41,819;7,943
;2023-12-04 09:19:21;338,388438;28,2979;35,3052;5,698102;1,8485;41,286;7,936
;2023-12-04 10:19:21;338,430104;28,2873;35,3119;5,697928;1,8906;42,221;7,949
;2023-12-04 11:19:21;338,471771;28,3829;35,3117;5,708126;1,9937;44,593;7,971
;2023-12-04 12:19:21;338,513438;28,4685;35,3193;5,71838;2,0075;44,966;7,991
;2023-12-04 13:19:21;338,555104;28,6453;35,321;5,737552;2,119;47,601;8,012
;2023-12-04 14:19:21;338,596771;28,9514;35,3141;5,76937;2,3188;52,345;8,048
;2023-12-04 15:19:21;338,638438;29,1804;35,3262;5,795706;2,4814;56,226;8,052
;2023-12-04 16:19:21;338,680104;29,3483;35,3307;5,814399;2,5535;58,018;8,05
;2023-12-04 17:19:21;338,721771;29,3354;35,328;5,812623;2,6461;60,108;8,08
;2023-12-04 18:19:21;338,763438;29,2093;35,3405;5,800898;2,5608;58,058;8,089
;2023-12-04 19:19:21;338,805104;29,2987;35,3262;5,808418;2,5978;58,977;8,064
;2023-12-04 20:19:21;338,846771;29,658;35,2832;5,840743;2,6965;61,558;8,07
;2023-12-04 21:19:21;338,888438;29,611;35,2956;5,837506;2,6007;59,328;8,064
;2023-12-04 22:19:21;338,930104;29,2572;35,3127;5,801992;2,3825;54,048;8,045
;2023-12-04 23:19:21;338,971771;29,0068;35,3347;5,7783;2,2287;50,361;8,02
;2023-12-05 00:19:21;339,013438;28,9031;35,336;5,767362;2,0716;46,735;8,004
;2023-12-05 01:19:21;339,055104;28,8447;35,3311;5,760383;1,9956;44,975;7,989
;2023-12-05 02:19:21;339,096771;28,7636;35,3272;5,751123;1,8828;42,376;7,975
;2023-12-05 03:19:21;339,138438;28,6875;35,3269;5,742928;1,8681;41,994;7,966
;2023-12-05 04:19:21;339,180104;28,6391;35,3213;5,736932;1,819;40,857;7,947
;2023-12-05 05:19:21;339,221771;28,5874;35,3234;5,731709;1,7804;39,956;7,946
;2023-12-05 06:19:21;339,263438;28,5126;35,324;5,723772;1,7922;40,173;7,936
;2023-12-05 07:19:21;339,305104;28,4538;35,3167;5,716427;1,7684;39,6;7,927
;2023-12-05 08:19:21;339,346771;28,3744;35,3321;5,710142;1,7317;38,731;7,918
;2023-12-05 09:19:21;339,388438;28,3198;35,3445;5,706072;1,7919;40,045;7,918
;2023-12-05 10:19:21;339,430104;28,3044;35,354;5,705779;1,8042;40,312;7,933
;2023-12-05 11:19:21;339,471771;28,2477;35,3644;5,701203;1,7577;39,239;7,935
;2023-12-05 12:19:21;339,513438;28,3826;35,3573;5,714626;1,8639;41,701;7,968
;2023-12-05 13:19:21;339,555104;28,5164;35,3564;5,728833;2,0163;45,208;8,006
;2023-12-05 14:19:21;339,596771;28,766;35,3536;5,755192;2,2023;49,578;7,997
;2023-12-05 15:19:21;339,638438;28,9059;35,3463;5,769156;2,4466;55,199;8,028
;2023-12-05 16:19:21;339,680104;28,9331;35,3489;5,772448;2,5239;56,97;8,024
;2023-12-05 17:19:21;339,721771;28,887;35,3535;5,768168;2,5753;58,087;8,033
;2023-12-05 18:19:21;339,763438;28,8179;35,3671;5,762718;2,5805;58,145;8,07
;2023-12-05 19:19:21;339,805104;28,9202;35,362;5,772958;2,5845;58,329;8,054
;2023-12-05 20:19:21;339,846771;28,8967;35,3667;5,771125;2,5883;58,395;8,035
;2023-12-05 21:19:21;339,888438;28,8738;35,3621;5,767984;2,5678;57,908;8,023
;2023-12-05 22:19:21;339,930104;28,8926;35,3662;5,770615;2,5342;57,169;8,029
;2023-12-05 23:19:21;339,971771;28,8013;35,3456;5,757827;2,3176;52,2;8,005
;2023-12-06 00:19:21;340,013438;28,6979;35,355;5,7481;2,1604;48,581;7,992
;2023-12-06 01:19:21;340,055104;28,5402;35,3699;5,73334;2,0387;45,73;7,976
;2023-12-06 02:19:21;340,096771;28,5181;35,3625;5,729898;1,9191;43,03;7,964
;2023-12-06 03:19:21;340,138438;28,4411;35,3758;5,723559;1,8709;41,902;7,954
;2023-12-06 04:19:21;340,180104;28,388;35,3653;5,716357;1,8294;40,934;7,949
;2023-12-06 05:19:21;340,221771;28,332;35,3605;5,709674;1,6833;37,629;7,919
;2023-12-06 06:19:21;340,263438;28,2723;35,3581;5,702932;1,7236;38,493;7,919
;2023-12-06 07:19:21;340,305104;28,1054;35,3718;5,687034;1,6826;37,478;7,902
;2023-12-06 08:19:21;340,346771;28,0274;35,3715;5,678641;1,7246;38,363;7,894
;2023-12-06 09:19:21;340,388438;27,9796;35,3581;5,671622;1,632;36,273;7,876
;2023-12-06 10:19:21;340,430104;27,8926;35,3704;5,664077;1,5912;35,319;7,896
;2023-12-06 11:19:21;340,471771;27,9509;35,3631;5,669257;1,6689;37,075;7,9
;2023-12-06 12:19:21;340,513438;27,9355;35,3776;5,669684;1,7718;39,356;7,909
;2023-12-06 13:19:21;340,555104;28,0595;35,3879;5,684413;1,935;43,07;7,961
;2023-12-06 14:19:21;340,596771;28,2112;35,4003;5,702425;2,0528;45,809;8,011
;2023-12-06 15:19:21;340,638438;28,4901;35,398;5,732005;2,2649;50,772;8,047
;2023-12-06 16:19:21;340,680104;28,8841;35,3905;5,773214;2,5791;58,182;8,015
;2023-12-06 17:19:21;340,721771;29,2576;35,3838;5,812401;2,6958;61,181;8,044
;2023-12-06 18:19:21;340,763438;29,4636;35,3833;5,834496;2,7926;63,587;8,087
;2023-12-06 19:19:21;340,805104;29,7108;35,3756;5,85999;2,8481;65,106;8,056
;2023-12-06 20:19:21;340,846771;29,8465;35,3731;5,874266;2,871;65,772;8,067
;2023-12-06 21:19:21;340,888438;29,5394;35,3733;5,841186;2,717;61,938;8,02
