DateTime,salinite,conductivite,O2 (mL/L),ph,Fluorimetry (µg/L),turbidite
2021-04-07,36.2549,5.888674,3.4256,7.912,0.1933,2.0254
2021-04-08,36.2454,5.868355,3.0962,7.878,0.2505,2.0856
2021-04-08,36.2481,5.860473,3.1428,7.883,0.188,2.0395
2021-04-08,36.2491,5.845412,2.9462,7.865,0.2925,2.2222
2021-04-08,36.2512,5.871081,3.4706,7.936,0.3108,2.1406
2021-04-08,36.2536,5.901795,3.7989,7.958,0.3306,2.2539
2021-04-08,36.2557,5.910719,3.8763,7.962,0.3192,2.139
2021-04-08,36.2519,5.898603,3.8728,7.933,0.2421,2.1749
2021-04-08,36.2691,5.884376,3.4699,7.895,0.32,2.392
2021-04-09,36.2876,5.877877,3.446,7.895,0.2894,2.4923
2021-04-09,36.2835,5.871563,3.476,7.894,0.307,2.5579
2021-04-09,36.2698,5.864341,3.2406,7.884,0.3169,2.2844
2021-04-09,36.2674,5.878832,3.6763,7.928,0.381,2.2127
2021-04-09,36.2663,5.901986,3.8966,7.971,0.4611,2.2615
2021-04-09,36.2529,5.915259,4.0315,7.953,0.5069,2.2234
2021-04-09,36.244,5.89994,3.4626,7.909,0.3894,2.1585
2021-04-09,36.2408,5.885455,3.2562,7.885,0.3764,2.1352
2021-04-10,36.2551,5.877687,3.2495,7.873,0.3436,2.2813
2021-04-10,36.2587,5.879167,3.328,7.875,0.339,2.2123
2021-04-10,36.2498,5.872634,3.0978,7.869,0.3795,2.1581
2021-04-10,36.2399,5.890002,3.5886,7.944,0.4558,2.1867
2021-04-10,36.2293,5.936688,4.0248,7.984,0.6175,2.2611
2021-04-10,36.2153,5.935149,3.8581,7.942,0.5572,2.2363
2021-04-10,36.218,5.916019,3.4349,7.909,0.3573,2.3382
2021-04-10,36.215,5.873697,3.1123,7.87,0.3779,2.1902
2021-04-11,36.2379,5.872961,3.1916,7.871,0.4519,2.3759
2021-04-11,36.2248,5.869645,3.2182,7.87,0.4016,2.2432
2021-04-11,36.2234,5.858447,3.0179,7.862,0.3871,2.2211
2021-04-11,36.21,5.873296,3.2183,7.918,0.3207,2.2539
2021-04-11,36.2128,5.920254,3.7945,7.978,0.5061,2.3351
2021-04-11,36.2276,5.932872,3.7653,7.948,0.6373,2.2478
2021-04-11,35.8749,5.855715,2.8444,7.901,0.3032,2.1757
2021-04-11,35.8579,5.829582,2.4629,7.864,0.2871,2.1757
2021-04-12,36.2515,5.868428,2.9157,7.845,0.3451,2.2611
2021-04-12,36.2307,5.868501,3.0647,7.855,0.3093,2.2012
2021-04-12,36.2338,5.844932,2.9158,7.847,0.4085,2.2005
2021-04-12,36.2202,5.859474,3.156,7.907,0.4375,2.2172
2021-04-12,36.2085,5.903577,3.8497,7.946,0.4176,2.2794
2021-04-12,36.2034,5.916187,3.7094,7.942,0.4657,2.1947
2021-04-12,36.1874,5.878866,3.14,7.894,0.4931,2.2779
2021-04-12,36.2333,5.855069,2.7818,7.859,0.4161,2.2752
2021-04-13,36.1215,5.834567,2.7355,7.849,0.3779,2.2615
2021-04-13,36.1879,5.853517,2.8804,7.858,0.4039,2.2798
2021-04-13,36.1966,5.844603,2.5904,7.841,0.3879,2.2676
2021-04-13,36.19,5.844269,2.6074,7.851,0.5214,2.3477
2021-04-13,36.1275,5.825752,2.8373,7.902,0.6305,2.3786
2021-04-13,36.1011,5.846507,3.329,7.932,0.5931,2.3965
2021-04-13,36.0703,5.829442,2.5907,7.88,0.5,2.2989
2021-04-13,36.0842,5.821226,2.2925,7.839,0.4123,2.3466
2021-04-14,36.0924,5.814997,2.3741,7.832,0.3703,2.4129
2021-04-14,36.0717,5.813683,2.4748,7.838,0.3077,2.4202
2021-04-14,36.1012,5.813974,2.418,7.838,0.3688,2.4084
2021-04-14,36.0836,5.831455,2.916,7.906,0.3734,2.3595
2021-04-14,36.0841,5.850982,3.3559,7.905,0.4611,2.5503
2021-04-14,35.9577,5.846023,3.6596,7.919,0.4344,2.6254
2021-04-14,35.8796,5.801419,2.9678,7.878,0.4489,2.2958
2021-04-14,36.0456,5.828896,2.8569,7.85,0.4024,2.3008
2021-04-15,36.0807,5.813974,2.8076,7.84,0.3772,2.3588
2021-04-15,36.1185,5.822251,2.731,7.83,0.3634,2.4084
2021-04-15,36.1253,5.821227,2.6492,7.833,0.4046,2.3557
2021-04-15,36.0998,5.841153,3.1625,7.896,0.4077,2.3195
2021-04-15,36.0773,5.883933,3.4799,7.955,0.5702,2.4732
2021-04-15,36.0965,5.902354,3.4007,7.93,0.4252,2.358
2021-04-15,36.0351,5.866062,3.0899,7.899,0.4733,2.35
2021-04-15,36.0967,5.847497,2.6018,7.862,0.4764,2.3424
2021-04-16,36.082,5.826231,2.69,7.849,0.4344,2.3328
2021-04-16,36.0842,5.819803,2.528,7.848,0.4848,2.5377
2021-04-16,36.0654,5.803787,2.3902,6.649,0.4695,2.3687
2021-04-16,36.0101,5.803568,2.3764,6.953,0.5343,2.4664
2021-04-16,36.0291,5.862266,3.1615,6.904,0.767,2.5533
2021-04-16,36.0022,5.891996,3.059,6.916,0.883,2.416
2021-04-16,36.0376,5.883487,2.7885,6.914,0.6999,2.4282
2021-04-16,36.0511,5.856717,2.4821,6.7,0.674,2.4553
2021-04-17,36.0554,5.819512,2.0889,6.672,0.6541,2.4816
2021-04-17,36.0616,5.807784,2.0523,6.82,0.6053,2.5034
2021-04-17,36.0598,5.79016,1.8699,6.386,0.7083,2.5323
2021-04-17,36.0255,5.792557,1.9054,6.711,0.8472,2.6025
2021-04-17,36.0149,5.869122,2.5554,6.701,0.9906,2.6769
2021-04-17,35.9948,5.955797,2.9366,6.57,0.9486,2.6197
2021-04-17,36.0164,5.958263,2.8601,7.183,0.8151,2.6792
2021-04-17,35.9802,5.890185,2.1886,6.55,0.7709,2.7708
2021-04-18,35.9566,5.832222,1.8771,6.511,0.7548,2.7506
2021-04-18,35.9708,5.804873,1.8342,6.501,0.7876,2.7662
2021-04-18,35.9753,5.789093,1.6953,6.485,0.8945,2.7914
2021-04-18,35.9858,5.786442,1.6983,6.533,1.0264,2.8883
2021-04-18,35.9682,5.849327,2.299,6.579,1.208,2.8932
2021-04-18,35.9195,5.940797,2.8644,6.613,0.8861,2.7055
2021-04-18,35.9168,5.907954,2.5018,6.568,0.5992,2.5468
2021-04-18,35.9141,5.847092,2.2346,6.524,0.5275,2.5541
2021-04-19,35.9274,5.82582,2.0654,6.505,0.5237,2.6102
2021-04-19,35.9488,5.819182,2.0158,6.487,0.5519,2.5827
2021-04-19,35.9495,5.80633,1.8648,6.471,0.6442,2.5407
2021-04-19,35.946,5.823561,2.08,6.605,0.6946,2.5732
2021-04-19,35.9494,5.897149,2.6715,6.674,0.8876,2.5571
2021-04-19,35.9498,5.876797,2.3216,6.594,0.7403,2.6247
2021-04-19,35.936,5.865105,2.1601,6.893,0.6671,2.4843
2021-04-19,35.8054,5.818409,1.9197,7.949,0.5519,2.506
2021-04-20,35.8758,5.819101,1.8684,7.952,0.5755,2.5266
2021-04-20,35.887,5.806909,1.8552,7.931,0.5359,2.4778
2021-04-20,35.9243,5.80237,1.8079,7.905,0.6152,2.4602
2021-04-20,35.8772,5.812945,2.0253,7.989,0.6831,2.5098
2021-04-20,35.9287,5.849806,2.3644,8.053,0.7953,2.535
2021-04-20,35.5946,5.782963,2.1965,8.089,0.8472,2.4969
2021-04-20,35.7084,5.792774,2.3824,8.085,0.7999,2.5896
2021-04-20,35.9084,5.811894,2.0903,8.073,0.629,2.569
2021-04-21,35.9126,5.79786,2.1065,8.061,0.5923,2.6296
2021-04-21,35.9444,5.797897,2.0956,8.057,0.6053,2.5335
2021-04-21,35.9718,5.806323,2.0516,8.069,0.6473,2.4366
2021-04-21,35.9877,5.830755,2.529,8.138,0.7541,2.4393
2021-04-21,36.053,5.873474,3.0451,8.173,0.8349,2.4675
2021-04-21,36.0657,5.894297,3.11,8.163,0.928,2.416
2021-04-21,36.0552,5.863556,2.7519,8.119,0.6213,2.3714
2021-04-21,36.0687,5.845699,2.4927,8.095,0.6022,2.4175
2021-04-22,36.0811,5.834565,2.4459,8.088,0.6343,2.3962
2021-04-22,36.0773,5.822032,2.294,8.077,0.5763,2.4831
2021-04-22,36.0838,5.813219,2.2689,8.066,0.6434,2.342
2021-04-22,36.0871,5.827509,2.4937,8.139,0.7533,2.4034
2021-04-22,36.0893,5.901273,3.0637,8.194,0.9067,2.5327
2021-04-22,36.0894,5.921736,3.0427,8.161,0.8731,2.284
2021-04-22,36.0957,5.882416,2.592,8.113,0.7113,2.3264
2021-04-22,36.0726,5.856041,2.5118,8.092,0.6587,2.5198
2021-04-23,36.1,5.845809,2.5378,8.087,0.6991,2.4541
2021-04-23,36.1149,5.841517,2.5443,8.09,0.5595,2.3756
2021-04-23,36.1152,5.834305,2.3975,8.084,0.6694,2.3149
2021-04-23,36.1165,5.848821,2.704,8.147,0.8227,2.3061
2021-04-23,36.0766,5.849919,2.8581,8.144,0.8929,2.358
2021-04-23,36.0738,5.899234,3.0769,8.168,0.809,2.3481
2021-04-23,36.1072,5.865328,2.5369,8.11,0.6816,2.1799
2021-04-23,36.0769,5.844891,2.463,8.088,0.6305,2.3393
2021-04-24,36.0856,5.839764,2.4314,8.084,0.6686,2.3153
2021-04-24,36.0936,5.836943,2.3523,8.079,0.6297,2.2951
2021-04-24,36.0932,5.833207,2.1386,8.067,0.6984,2.1532
2021-04-24,36.0827,5.839611,2.3918,8.116,0.767,2.205
2021-04-24,36.0693,5.866988,2.7964,8.143,0.8098,2.564
2021-04-24,35.9737,5.836576,2.5837,8.153,0.8754,2.2092
2021-04-24,35.892,5.810239,2.3098,8.109,0.6885,2.2176
2021-04-24,35.8759,5.791988,2.1685,8.08,0.6389,2.2657
2021-04-25,35.9884,5.802154,2.1546,8.064,0.6274,2.3023
2021-04-25,35.8524,5.772887,2.8458,8.076,0.6511,2.2283
2021-04-25,35.8471,5.757325,2.2911,8.067,0.6587,2.1879
2021-04-25,35.8596,5.743465,2.5178,8.111,0.8082,2.2592
2021-04-25,35.9145,5.851531,3.5251,8.188,0.983,2.2283
2021-04-25,35.9169,5.889811,3.4161,8.173,1.0326,2.2428
2021-04-25,35.9374,5.874726,2.8067,8.122,0.664,2.1879
2021-04-25,35.9205,5.841811,2.5693,8.095,0.6442,2.1921
2021-04-26,35.9558,5.813934,2.7024,8.056,0.7014,2.3431
2021-04-26,35.9679,5.810255,2.4941,8.054,0.6946,2.2741
2021-04-26,35.9701,5.797665,2.1276,8.032,0.7602,2.1848
2021-04-26,35.9691,5.791954,2.1466,8.073,0.883,2.2279
2021-04-26,35.9624,5.855244,3.1603,8.116,0.8998,2.2199
2021-04-26,35.924,5.874798,3.2888,8.142,0.9814,2.0963
2021-04-26,35.9578,5.882413,2.8961,7.275,-0.62,-0.36
2021-04-26,35.9669,5.841666,2.4183,7.372,-0.62,-0.36
2021-04-27,35.9746,5.821921,2.5674,7.485,-0.62,-0.36
2021-04-27,35.9812,5.815612,2.5096,7.421,0.777,2.2348
2021-04-27,35.9801,5.809494,2.4361,7.384,0.8349,2.1284
2021-04-27,35.9807,5.822102,2.713,7.619,1.0394,2.1284
2021-04-27,35.9885,5.866206,3.0605,7.606,1.015,2.178
2021-04-27,35.9609,5.877161,3.0409,7.658,1.1867,2.3145
2021-04-27,35.9792,5.862265,2.7659,7.563,0.8922,2.131
2021-04-27,35.9805,5.83332,2.4559,7.536,0.8044,2.0723
2021-04-28,35.9856,5.822865,2.5072,7.562,0.9135,2.1604
2021-04-28,36.0101,5.819583,2.522,7.488,0.8113,2.1146
2021-04-28,36.0039,5.811207,2.3861,7.514,0.8372,2.0139
2021-04-28,36.002,5.826991,2.5592,7.67,1.0013,2.0132
2021-04-28,36.0027,5.878461,3.0148,7.637,1.1806,2.0315
2021-04-28,36.0057,5.890332,2.993,7.906,1.3263,2.0357
2021-04-28,35.9839,5.880604,2.6349,7.974,0.8594,1.975
2021-04-28,35.9664,5.840343,2.1315,8.021,0.6587,1.9632
2021-04-29,35.9595,5.817215,2.236,8.019,0.6946,2.0441
2021-04-29,35.9754,5.810872,2.2599,8.037,0.6747,2.02
2021-04-29,35.9586,5.811859,2.213,8.044,0.7236,1.9605
2021-04-29,35.8595,5.79717,2.1979,8.123,0.8922,2.017
2021-04-29,35.8266,5.856122,2.8568,8.172,1.0165,2.0792
2021-04-29,35.8589,5.892364,2.9134,8.151,1.0493,2.0292
2021-04-29,35.8637,5.869045,2.4591,8.091,0.7068,1.9796
2021-04-29,35.8462,5.837409,2.0417,8.047,0.6175,2.0151
2021-04-30,35.8317,5.817103,1.9658,8.016,0.722,2.2535
2021-04-30,35.831,5.809998,2.0634,8.017,0.6175,2.1928
2021-04-30,35.7828,5.785358,1.772,7.99,0.6709,2.1146
2021-04-30,35.7592,5.774947,1.71,8.095,0.8876,2.1814
2021-04-30,35.7354,5.840853,2.4167,8.108,1.0066,2.3614
2021-04-30,35.7121,5.883333,2.8114,8.128,0.9997,2.2581
2021-04-30,35.7097,5.867526,2.5839,8.063,0.7213,2.2672
2021-04-30,35.7084,5.837624,2.1416,7.996,0.6526,2.2817
2021-05-01,35.7083,5.801414,1.8855,7.944,0.6381,2.3008
2021-05-01,35.6928,5.783219,1.8938,7.944,0.6724,2.3038
2021-05-01,35.6898,5.769353,1.9012,7.943,0.706,2.2913
2021-05-01,35.6884,5.76834,1.9571,8.037,0.9029,2.3408
2021-05-01,35.6993,5.856818,2.7909,8.128,0.9982,2.5426
2021-05-01,35.7038,5.874756,2.7168,8.105,0.944,2.2813
2021-05-01,35.7072,5.813529,2.3385,8.028,0.6694,2.2764
2021-05-01,35.7243,5.792129,2.0601,7.995,0.6236,2.1642
2021-05-02,35.7218,5.777761,1.9561,7.976,0.6457,2.2062
2021-05-02,35.7366,5.767835,1.8266,7.979,0.6442,2.321
2021-05-02,35.7631,5.768848,1.9004,7.97,0.703,2.189
2021-05-02,35.7573,5.772306,1.8831,8.069,0.8555,2.292
2021-05-02,35.7918,5.858735,2.5218,8.158,1.0356,2.2993
2021-05-02,35.7836,5.877602,2.5988,8.117,0.9494,2.2413
2021-05-02,35.7664,5.837073,2.2768,8.016,0.6305,2.1925
2021-05-02,35.7711,5.803127,1.8243,7.942,0.6099,2.1856
2021-05-03,35.7795,5.795899,1.7406,7.922,0.6175,2.1879
2021-05-03,35.7641,5.771626,1.5797,7.886,0.6763,2.2291
2021-05-03,35.7538,5.756492,1.5106,7.859,0.7205,2.3012
2021-05-03,35.7299,5.749137,1.5081,7.959,0.8372,2.355
2021-05-03,36.0534,5.877018,1.9375,8.12,0.9929,2.4637
2021-05-03,36.0516,5.953738,2.3829,8.054,0.8853,2.4961
2021-05-03,36.0498,5.949346,2.335,7.952,0.7228,2.4946
2021-05-03,36.0504,5.895852,1.8084,7.947,0.6656,2.569
2021-05-04,36.0425,5.855174,2.4003,7.959,0.6587,2.5049
2021-05-04,36.0308,5.841959,2.6303,8.023,0.6618,2.6964
2021-05-04,36.0217,5.83218,2.7442,8.062,0.7129,2.7254
2021-05-04,36.0158,5.853113,3.1847,8.184,0.7915,2.3847
2021-05-04,36.0256,5.894296,3.568,8.229,0.9929,2.5175
2021-05-04,36.0346,5.888551,3.4458,8.195,0.8296,2.8158
2021-05-04,35.8372,5.834559,3.2592,8.161,0.3032,12.9207
2021-05-04,36.0269,5.839283,2.9728,8.14,0.3131,13.7863
2021-05-05,36.0763,5.831382,3.0008,8.144,0.339,14.6423
2021-05-05,36.0419,5.823302,2.874,8.135,0.3245,15.7879
2021-05-05,36.0137,5.819656,2.9538,8.141,0.3612,16.4837
2021-05-05,36.0281,5.846214,3.2426,8.214,0.3451,16.5138
2021-05-05,36.0239,5.875617,3.4895,8.237,0.3398,17.0467
2021-05-05,36.0066,5.902498,3.5102,8.223,0.2269,8.6524
2021-05-05,36.0129,5.88016,3.2188,8.17,0.2665,8.6569
2021-05-05,36.0079,5.845035,3.0185,8.151,0.2368,8.7142
2021-05-06,36.0068,5.838293,3.1125,8.149,0.2345,8.8603
2021-05-06,35.998,5.826991,3.2457,8.152,0.2589,8.8004
2021-05-06,35.9888,5.821144,3.0887,8.144,0.2391,8.8744
2021-05-06,35.9983,5.841187,3.4736,8.215,0.2421,8.8721
2021-05-06,35.9853,5.875653,3.8196,8.205,0.2391,8.9293
2021-05-06,35.9797,5.863598,3.4739,8.21,0.265,9.0453
2021-05-06,35.9738,5.872918,3.4078,8.173,0.2635,9.159
2021-05-06,35.9702,5.844962,3.1458,8.148,0.2521,9.2776
2021-05-07,35.9407,5.826481,3.2694,8.147,0.2376,9.3779
2021-05-07,35.9725,5.821521,3.0416,8.143,0.2513,9.4897
2021-05-07,35.9826,5.811968,2.7892,8.128,0.2635,9.5515
2021-05-07,35.9646,5.825131,3.1726,8.194,0.2368,9.5698
2021-05-07,35.9831,5.864589,3.5651,8.239,0.2704,9.5675
2021-05-07,35.9704,5.883559,3.5217,8.208,0.2635,9.6167
2021-05-07,35.957,5.847791,3.2234,8.178,0.2437,9.7586
2021-05-07,35.9616,5.830136,3.0534,8.149,0.2818,9.8037
2021-05-08,35.9676,5.818377,2.7744,8.127,0.2833,9.8819
2021-05-08,35.9871,5.817107,2.7723,8.115,0.2879,9.9688
2021-05-08,35.9871,5.802915,2.4506,8.074,0.2765,10.0062
2021-05-08,35.9971,5.823047,2.8062,8.157,0.2643,10.0257
2021-05-08,36.0083,5.880751,3.513,8.195,0.2391,10.0024
2021-05-08,36.0147,5.887442,3.4859,8.175,0.2589,10.0737
2021-05-08,36.0203,5.859469,3.0862,8.129,0.2521,10.1855
2021-05-08,36.0347,5.831999,2.8982,8.108,0.2742,10.2889
2021-05-09,36.0527,5.831774,2.9388,8.118,0.2742,10.3923
2021-05-09,36.0607,5.834013,3.0883,8.146,0.2551,10.4766
2021-05-09,36.0605,5.826157,3.0517,8.139,0.2833,10.6204
2021-05-09,36.0547,5.844374,3.4557,8.177,0.3062,10.6418
2021-05-09,36.0572,5.876982,3.7036,8.215,0.2719,10.6879
2021-05-09,36.054,5.879862,3.6657,8.208,0.265,10.7528
2021-05-09,36.0551,5.852015,3.4456,8.171,0.2986,10.9286
2021-05-09,36.0567,5.838636,3.2278,8.156,0.2871,11.0316
2021-05-10,36.0589,5.832443,3.2095,8.157,0.2749,11.1728
2021-05-10,35.8164,5.795936,3.2881,8.152,0.2849,11.2491
2021-05-10,35.5925,5.757782,3.0778,8.147,0.2841,11.3841
2021-05-10,35.5634,5.768481,3.2566,8.188,0.2978,11.4921
2021-05-10,35.2387,5.751234,3.223,8.194,0.3009,11.5134
2021-05-10,35.3785,5.776812,3.1956,8.196,0.2521,11.6405
2021-05-10,35.1838,5.719343,2.7644,8.171,0.2643,11.8487
2021-05-10,35.1916,5.699312,2.5419,8.155,0.2963,12.0147
2021-05-11,35.1892,5.683607,2.459,8.155,0.2513,12.1822
2021-05-11,35.1823,5.695527,2.5035,8.163,0.2795,12.3527
2021-05-11,35.1704,5.690551,2.3661,8.153,0.2902,12.4278
2021-05-11,35.1698,5.70183,2.5334,8.18,0.2727,12.4801
2021-05-11,35.1588,5.74531,2.7458,8.223,0.2757,12.4923
2021-05-11,35.1469,5.754331,2.8044,8.208,0.2894,12.601
2021-05-11,35.139,5.713499,2.427,8.169,0.2887,12.7547
2021-05-11,35.1329,5.700159,2.2295,8.141,0.307,12.8837
2021-05-12,35.1313,5.69101,2.2367,8.142,0.3077,13.0203
2021-05-12,35.1323,5.687501,2.2027,8.139,0.3009,13.1126
2021-05-12,35.1348,5.679611,2.1001,8.116,0.3161,13.2564
2021-05-12,35.1395,5.672479,2.2072,8.102,0.3139,13.3743
2021-05-12,35.1277,5.71803,2.624,8.197,0.2925,13.4193
2021-05-12,35.136,5.733308,2.622,8.195,0.3161,13.5475
2021-05-12,35.1365,5.714745,2.3764,8.168,0.3398,13.7893
2021-05-12,35.1442,5.689543,2.1208,8.116,0.3337,14.0899
2021-05-13,35.1422,5.682938,2.0713,8.128,0.072,9.5332
2021-05-13,35.1198,5.672952,2.0489,8.129,0.0606,8.9415
2021-05-13,35.1362,5.645667,1.8501,8.094,0.056,8.6062
2021-05-13,35.1311,5.647738,2.0205,8.123,-0.0249,8.1374
2021-05-13,35.119,5.720797,2.5748,8.188,-0.0592,7.8425
2021-05-13,35.0937,5.732859,2.6959,8.2,-0.1409,7.1463
2021-05-13,35.1033,5.719269,2.467,8.166,-0.076,6.9155
2021-05-13,35.1056,5.689614,2.1014,8.096,-0.1409,6.6389
2021-05-14,35.1121,5.674266,2.0599,8.116,-0.1966,6.3193
2021-05-14,35.1016,5.668967,2.0464,8.114,-0.2957,5.9733
2021-05-14,35.1184,5.664073,1.9571,8.092,-0.3041,5.7135
2021-05-14,35.0407,5.647255,2.054,8.105,-0.4018,5.4438
2021-05-14,34.9704,5.635492,2.2353,8.141,-0.2515,5.2408
2021-05-14,35.053,5.633861,2.4936,8.195,-0.2446,4.8925
2021-05-14,35.063,5.649807,2.3856,8.163,-0.2263,4.6274
2021-05-14,35.0706,5.638552,2.0615,8.123,-0.1447,4.3871
2021-05-15,35.089,5.641661,1.992,8.108,-0.1783,4.1532
2021-05-15,35.0567,5.633933,2.0006,8.105,-0.1973,3.8385
2021-05-15,35.0797,5.635459,1.8324,8.073,-0.2057,3.491
2021-05-15,35.0813,5.617514,1.7976,8.062,-0.1989,3.1942
2021-05-15,35.1099,5.689025,2.4783,8.148,-0.015,2.9916
2021-05-15,35.1135,5.730054,2.6485,8.197,-0.0249,2.7021
2021-05-15,35.1103,5.709826,2.3606,8.14,0.043,2.601
2021-05-15,34.9667,5.665598,2.0542,8.095,0.0583,2.7815
2021-05-16,35.0225,5.646825,1.9386,8.068,0.0895,4.8906
2021-05-16,35.0706,5.630061,1.8268,8.077,0.0483,2.5957
2021-05-16,35.0952,5.594505,1.7004,8.039,0.0483,2.8436
2021-05-16,35.0937,5.59771,1.7574,8.09,0.088,2.931
2021-05-16,35.1116,5.663097,2.3546,8.134,0.0895,3.1358
2021-05-16,35.0728,5.735528,2.763,8.218,0.0697,2.0002
2021-05-16,35.066,5.699237,2.3598,8.173,0.0667,1.9208
2021-05-16,35.0697,5.668091,2.0904,8.142,0.0667,1.8865
2021-05-17,35.0683,5.653506,2.0155,8.131,0.0644,1.7942
2021-05-17,35.0625,5.65304,2.1107,8.134,0.0522,1.5996
2021-05-17,35.0614,5.65089,2.0207,8.14,0.0934,1.5771
2021-05-17,35.068,5.675364,2.3209,8.183,0.1178,1.5542
2021-05-17,35.0601,5.7094,2.6249,8.222,0.1719,1.4806
2021-05-17,35.0483,5.72644,2.609,8.225,0.143,1.4314
2021-05-17,35.0286,5.689655,2.3577,8.192,0.1109,1.4444
2021-05-17,35.0212,5.665671,2.1037,8.163,0.101,1.4108
2021-05-18,35.0161,5.654724,2.0363,8.15,0.1063,1.4215
2021-05-18,35.0114,5.651985,2.0357,8.148,0.101,1.3608
2021-05-18,35.0313,5.651735,2.0184,8.149,0.1262,1.3696
2021-05-18,35.0321,5.665678,2.2252,8.182,0.1796,1.3681
2021-05-18,35.0386,5.723657,2.6275,8.219,0.2459,1.3166
2021-05-18,35.0403,5.726158,2.5834,8.219,0.1742,1.2727
2021-05-18,35.0347,5.695668,2.2927,8.191,0.1407,1.2887
2021-05-18,35.045,5.671414,2.0479,8.157,0.1437,1.3246
2021-05-19,35.0537,5.655464,1.9942,8.136,0.1773,1.3284
2021-05-19,35.0586,5.647069,1.947,8.138,0.1536,1.2941
2021-05-19,35.058,5.63238,1.8372,8.111,0.1895,1.3467
2021-05-19,35.0548,5.649527,2.0238,8.141,0.2063,1.3456
2021-05-19,35.0405,5.690274,2.4544,8.199,0.2604,1.3551
2021-05-19,35.0392,5.703885,2.5733,8.218,0.2643,1.4181
2021-05-19,35.0324,5.679888,2.3094,8.179,0.1872,1.3803
2021-05-19,35.025,5.660864,2.0813,8.148,0.1941,1.2155
2021-05-20,35.0254,5.654896,2.0097,8.145,0.1666,1.1743
2021-05-20,35.022,5.648595,1.9922,8.124,0.1697,1.167
2021-05-20,35.0172,5.640713,2.0595,8.127,0.1903,1.1529
2021-05-20,35.017,5.654674,2.1742,8.178,0.2704,1.1621
2021-05-20,35.0138,5.706123,2.5746,8.225,0.4436,1.1392
2021-05-20,34.9993,5.723439,2.6072,8.231,0.3474,1.1537
2021-05-20,34.993,5.675657,2.317,8.201,0.2315,1.1533
2021-05-20,34.9881,5.650085,2.0646,8.17,0.2315,1.0362
2021-05-21,34.9746,5.639982,2.072,8.161,0.2307,1.0534
2021-05-21,34.9636,5.632735,1.9592,8.151,0.2307,1.0385
